org,repo,datalake,github
Microsoft,powerbi-visuals-utils-dataviewutils,36,30
Microsoft,OMS-Automation,27,25
Microsoft,HoloLabs,0,0
Microsoft,BingMapsRESTToolkit,37,41
Microsoft,PowerBI-visuals-NetworkNavigator,569,569
Microsoft,pxt-adafruit-built,90,109
Microsoft,Test,0,0
Microsoft,GVFS.packages,2,2
Microsoft,vscode-performance-tools,25,26
Microsoft,pxt-retro-built,10,10
Microsoft,NanoServerTools,4,4
Microsoft,ASC-PS-Module,27,26
Microsoft,Partner-Center-Bot,18,1
Microsoft,RIoT,12,19
Microsoft,BikeSharing360_DevOps,3,4
Microsoft,WindowsRuntimeAPIs_Javascript_snippets,5,10
Microsoft,MRDesignLabs,3,12
Microsoft,ospo-jmw-api-test,1,0
Microsoft,openshift-container-platform,14,19
Microsoft,aiimmersion-resources,3,3
Microsoft,SensorKit,3,3
Microsoft,music-explorer,32,32
Microsoft,sudokumaster-wp,7,7
Microsoft,cpprestsdk,1808,1819
Microsoft,BeanSpy,10,5
Microsoft,clang-tools-extra,1669,1636
Microsoft,vsts-build-test-samples,28,28
Microsoft,WindowsTooling-Samples,3,3
Microsoft,Microsoft-Message-Bridge,7,7
Microsoft,PTVS-Samples,16,16
Microsoft,Templates,233,233
Microsoft,ApplicationInsights-Xamarin,165,158
Microsoft,vso-intellij,1304,1311
Microsoft,dotnetversion,1,1
Microsoft,ntttcp-for-linux,35,30
Microsoft,dockertools-sampleprojects,3,3
Microsoft,vscode-node-debug,810,904
Microsoft,multiverso-next,306,306
Microsoft,vscode-editor-distro,71,71
Microsoft,orca,3777,3777
Microsoft,Build-OMS-Agent-for-Linux,738,790
Microsoft,CSP-Explorer,5,6
Microsoft,myVSO,2,2
Microsoft,IntuneMAMiOSIntegrator,10,10
Microsoft,pxt,7468,5013
Microsoft,VBA-content_ru-ru,16,16
Microsoft,Windows-appsample-huelightcontroller,9,9
Microsoft,UWPQuickStart,45,45
Microsoft,CaptionBot,112,113
Microsoft,sql-server-samples,986,975
Microsoft,3D-Scanning-Station,19,19
Microsoft,Windows-Social-Samples,6,6
Microsoft,statsd,875,875
Microsoft,WinAppDriver,165,0
Microsoft,passport-vsts,6,4
Microsoft,swift-corelibs-foundation,1014,0
Microsoft,vsts-rm-extensions,532,350
Microsoft,Office365Endpoints,10,8
Microsoft,typescript-build2016-demos,12,7
Microsoft,node-benchmarking,22,22
Microsoft,PowerBI-Cli,128,81
Microsoft,ionic-typescript-blank,18,11
Microsoft,Imagine_bing-maps-api,4,4
Microsoft,pgtester,41,29
Microsoft,Loop-Sample-Location-Android,47,46
Microsoft,Cognitive-TextAnalytics-Android,3,3
Microsoft,Cognitive-Emotion-Windows,31,31
Microsoft,Cognitive-SpeakerRecognition-Python,26,19
Microsoft,ionic2-starter-sidemenu,1,1
Microsoft,DocsRoot,224,220
Microsoft,monaco-css,28,28
Microsoft,ospo-mail2bug,35,35
Microsoft,iCMS_WDG_Pilot_II_Prod_am-ET,352,358
Microsoft,iCMS_WDG_Pilot_II_Prod_da-DK,1108,1115
Microsoft,iCMS_WDG_Pilot_II_Prod_ml-IN,357,363
Microsoft,iCMS_WDG_Pilot_II_Prod_nb-NO,1110,1117
Microsoft,iCMS_WDG_Pilot_II_Prod_sq-AL,351,357
Microsoft,Windows-Time-Calibration-Tools,79,49
Microsoft,azure-acs-plugin,12,12
Microsoft,MPTemplates,1,1
Microsoft,ospo-witness-extension-security,29,27
Microsoft,PowerBI-visuals-sampleBarChart,36,35
Microsoft,FetchClimate,2,2
Microsoft,gulp-core-build-sass,91,91
Microsoft,pxt-max6675,20,26
Microsoft,uwp-experiences,155,153
Microsoft,mssql-jdbc,751,579
Microsoft,Plant-Sensor,1,1
Microsoft,mala,4,4
Microsoft,Microsoft-graph-docs_pt-br,21,22
Microsoft,skytest_fi-FI,0,0
Microsoft,Techcon_test2_ru-RU,1,1
Microsoft,Techcon_test2_es-ES,1,0
Microsoft,Techcon_dogfooding2,5,0
Microsoft,deprecated-pxt-microbitex,8,8
Microsoft,LastTest_zh-TW,1,1
Microsoft,Microsoft.Shared.Dna.Text,5,5
Microsoft,DeepVision,1,1
Microsoft,fiat,94,94
Microsoft,UnifiedVisualNet,1,1
Microsoft,WorkLifeBalance,2,2
Microsoft,PhETOfficeAddIn,1,1
Microsoft,clarity,280,278
Microsoft,DevSkim-VisualStudio-Extension,14,24
Microsoft,sp-dev-docs.pt_br,12,17
Microsoft,DialogManagement,4,4
Microsoft,visualstudio-docs,2055,2227
Microsoft,xbox-live-trace-analyzer,18,7
Microsoft,BikeSharing360_BotApps,16,16
Microsoft,BikeSharing360_SingleContainer,11,10
Microsoft,DirectXShaderCompiler,619,285
Microsoft,applicationinsights-vscode,8,8
Microsoft,Reactor,0,0
Microsoft,azure-iot-devkit,158,103
Microsoft,painless-config-as-code,10,10
Microsoft,xbox-live-beam-api,70,0
Microsoft,healthvault-samples,90,92
Microsoft,azure-functions-java-host,20,21
Microsoft,sample-ecommerce-microservices,2,2
Microsoft,mobile-center-app-xamarin,106,109
Microsoft,VisualStudio2017Launch_KeynoteDemos,126,133
Microsoft,Mobile-Center-Test-Generator,3,3
Microsoft,mobile-center-quickstart-android,0,0
Microsoft,Dynamics365PSA,1,7
Microsoft,pxt-arduino,17,17
Microsoft,SpringBootDocumentDB,0,6
Microsoft,BuildTourHack,22,59
Microsoft,Cognitive-CustomVision-Python,2,3
Microsoft,electron-prebuilt,0,0
Microsoft,drumkitx,10,10
Microsoft,audio-recorder,19,19
Microsoft,dsc-puppet,2,2
Microsoft,places,24,24
Microsoft,boot2dockerpowershell,5,5
Microsoft,jenkins-azure,20,20
Microsoft,TypeScript,22545,17623
Microsoft,winstore-jscompat,16,12
Microsoft,hello-sensorcore,9,9
Microsoft,dotnet,737,670
Microsoft,dotnet-apiport,1103,0
Microsoft,ApplicationInsights-WordPress,13,11
Microsoft,moodle-local_office365,55,55
Microsoft,deployr-rserve,61,48
Microsoft,Sora,10,10
Microsoft,FFmpegInterop,118,111
Microsoft,libcontainer,1349,1349
